date_part,new_diy_flag,agent_id,created,saved,sent,downloaded,psm_detail,psm_review,checkout,bookings
2026-08-19,1,hes7721,1,1,0,1,,,0,0
2026-08-19,0,hes8713,12,12,11,0,3,,0,0
2026-08-19,1,hes7787,2,2,0,2,1,1,0,0
2026-08-19,0,hes7671,3,2,1,1,,,0,0
2026-08-19,0,HES7728,7,7,1,6,1,1,0,0
2026-08-19,0,rmdn8196,4,4,2,0,2,1,0,0
2026-08-19,0,hes8451,1,1,0,1,,,0,0
2026-08-19,0,hes8425,1,1,1,0,,,0,0
2026-08-19,0,rmdn6887,1,1,0,1,,,0,0
2026-08-19,0,fraandheri2,1,1,0,1,,,0,0
2026-08-19,0,hes7730,2,2,1,0,,,0,0
2026-08-19,0,hes9390,1,1,1,0,,,0,0
2026-08-19,0,hes5321,3,3,2,0,2,,0,0
2026-08-19,0,hes7654,1,1,0,1,,,0,0
2026-08-19,0,hes8397,3,3,3,0,,,0,0
2026-08-19,0,hes8215,3,2,2,0,3,,0,0
2026-08-19,0,HES7727,2,2,1,0,1,1,0,0
2026-08-19,0,HES7473,3,3,3,0,1,1,0,0
2026-08-19,0,hes7740,1,1,1,0,1,,0,0
2026-08-19,0,hes8999,1,1,1,0,,,0,0
2026-08-19,0,hes7601,1,1,0,1,,,0,0
2026-08-19,0,rmdn6117,14,13,2,10,2,1,0,0
2026-08-19,0,HES5279,5,4,4,0,,,0,0
2026-08-19,0,hes6680,1,1,0,1,,,0,0
2026-08-19,0,hes7961,1,1,0,1,1,1,0,0
2026-08-18,0,hes7724,3,2,0,2,,,0,0
2026-08-18,0,MATHURA002,2,2,0,2,,,0,0
2026-08-18,0,HES6112,10,8,5,3,1,,0,0
2026-08-18,0,hes9053,3,3,0,3,1,,0,0
2026-08-18,0,HES3504,9,7,0,7,2,,0,0
2026-08-18,0,hes8156,3,2,0,2,,,0,0
2026-08-18,0,hes7689,2,2,2,0,1,,0,0
2026-08-18,0,hes5835,3,3,3,0,3,,0,0
2026-08-18,0,FRA00074,3,2,0,2,,,0,0
2026-08-18,1,hes6904,1,1,1,0,1,,0,0
2026-08-18,0,rmdn8196,29,26,24,0,14,3,0,0
2026-08-18,1,rmdn1726,1,1,1,0,1,,0,0
2026-08-18,0,HES7367,14,12,12,0,9,1,0,0
2026-08-18,0,rmdn7049,29,26,16,8,13,,0,0
2026-08-18,0,hes6664,19,18,18,0,9,,0,0
2026-08-18,1,hes8929,3,3,3,0,,,0,0
2026-08-18,0,hes8646,2,1,1,0,2,,0,0
2026-08-18,0,frakotagumanpura2,9,7,4,3,2,,0,0
2026-08-18,0,HES4877,4,3,3,0,2,,0,0
2026-08-18,0,hes7591,2,2,2,0,,,0,0
